Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,5.1064414167772615e6,647.3428643956637,0.9004920490102777
NENGREST_conventional_hydroelectric_1,1,0.0035738979288183507,2.1892146080792956e-6,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0066306949317322394,3.048557812269219e-6,0.0
NaturalGas_CCAvgCF_Moderate,1,0.08630191620577139,0.00026253917424925294,0.0
NaturalGas_CTAvgCF_Moderate,1,313939.93613697577,1422.8922588279142,0.02518665206781035
NaturalGas_CCCCSAvgCF_Moderate,1,3.1806012257504724e6,1939.4779567544858,0.1872062172411876
NaturalGas_CCS100_Moderate,1,2.6942193825339343e7,5922.629224876809,0.5192951957076075
NENGREST_nuclear_1,1,0.03985940223093521,6.089247937079714e-6,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0029139873657636427,1.1076654127797805e-6,0.0
LandbasedWind_Class3_Moderate_130,1,5.6475571747842245e7,17387.487184694368,0.37078290886751974
UtilityPV_Class1_Moderate_100_0.2,1,1.0198738517229479e7,8340.271331495835,0.13959252768729152
Liion_Moderate,1,813587.0017362096,718.0517480974746,0.0
TEGS,1,3.9976447935055783e6,3637.4629956618305,0.0
