Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
ERC_REST_biomass_1,1,0,-9.944968562436088e-9,25135.621809755077,25135.621809765023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERC_REST_conventional_hydroelectric_1,1,0,-9.968798764981235e-9,8.050216751288914e-8,9.047096627787037e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0,-9.83261047102412e-9,3.062705126075979e-5,3.063688387123081e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,0,-9.756996816942649e-9,2631.3239377622613,2631.3239377720183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCCCSAvgCF_Moderate,1,0,-9.865796224376915e-9,14365.219952894922,14365.219952904788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaturalGas_CCS100_Moderate,1,0,-9.893035052544679e-9,8648.10008280642,8648.100082816314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERC_nuclear_1,1,0,-9.967195721475836e-9,6.0820431231045774e-6,6.0920103188260534e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,0,-9.784840339401155e-9,18735.552552015244,18735.55255202503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtilityPV_Class1_Moderate_100_0.2,1,0,-9.646625910671371e-9,130810.23875458183,130810.23875459148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liion_Moderate,1,0,-8.821906971836493e-9,23674.331226201248,23674.33122621007,0.0,-8.004803395635737e-9,94697.32490483737,94697.32490484537,0.0,0.0,0.0,0.0
TEGS,1,0,-9.492788683535403e-9,12287.957310911797,12287.95731092129,0.1,2.1776543968899763e-8,442366.3631931882,442366.4631931664,0.0,-2.710119924922689e-9,44683.48113062016,44683.481130622866
Total,n/a,0,-1.0697556351922595e-7,236288.3456637184,236288.34566382537,0.1,1.3771740573264026e-8,537063.6880980256,537063.7880980117,0.0,-2.710119924922689e-9,44683.48113062016,44683.481130622866
